agyögwëh	agyö gwë h
niyohsinök’ah	ni yo hsinök’ ah
hadihsënöwanës	hadi hsënö wanë s
nënöhdönyöh	nën öhdö nyö h
dawadi’sdagën	da w adi’sda gën
ëwënötganye:’	ë wënö t ganye :’
hösaowih	hösa owi h
asheswagë’	a sheswa gë ’
waagë’	wa a gë ’
dejodiha:’kdöh	de j o diha:’k dö h
edwahsawë’	e dw ahsa wë’
nö’gyë’	n ö ’g yë ’
yökidës	yök idë s
gyadatawak	gy adatawak
waga’ëyö:’	w a ga’ëyö :’
agya’dageha’	a g ya’d a geh a’
ëswajo:’dat	ë sw ajo:’da t
dësnideni’	d ë sni deni ’
dëdwanöwöyën	d ëdwa nöwöyën
ganesdä’gegwah	ga nesdä’ ge gwah
akno’ëgeh	ak no’ë geh
nö’oiwage’he’t	nö’ o iwa ge ’he’ t
yödejë’s	yö dejë’ s
jögwahdëjöh	j ögwa hdëjö h
odihšönih	odi hšöni h
agatgwenih	ag at gweni h
wa’o’hasdëh	wa’ o ’hasdë h
ögwajo’dadöh	ögw ajo’da döh
waodiyë’gwahsöwi’	wa odi yë’gwa hsöwi ’
gwagëh	gwa gë h
onë’da’	o në’d a’
waöwöyonyanö:’	wa öwö yony anö :’
hahseta’	ha hse ta’
dwataine’	dwa tai ne’
ëönöhdök	ë önö hdö k
ënötgweni’	ënö t gweni ’
oga’sdä:’	o ga’sdä :’
wa’ökniowi’	wa’ ökni owi ’
otgwëhsa’geh	o tgwëhsa’ geh
shedwanöe’s	shedwa nöe’ s
ögwëdës	ögwë dë s
ëshedwagë’	ë shedwa gë ’
edwadeyës	e dw ade yës
watgëh	w atgë h
edwatšonyanö:’	edw atšony anö :’
ajowi’	a jowi ’
sadiwatödat	s ad iwa töda t
deyögwatahgwëh	de yögw atahgwë h
nögwe’dase:’	n ögwe ’da se:’
o’wënöhsawë’	o’ wënö hsa wë’
ëdwadzagö’	ë dwa dzagö ’
ëdwatgëh	ë dw atgë h
hëödia’	h ëödi a ’
hëkne:’	h ë kn e :’
sawiyohe’t	sa w iyo he’ t
ënië’	ë ni ë ’
ahseyë’he’t	a hse yë’ he’ t
o’gego’	o’ ge go ’
ögwayënëda’öh	ögwa yënëda’ öh
edwadowi’	e dw adowi ’
dagyawënye:’	d a g yawënye :’
tšitoiwihsakdöh	tši to iwi hsak döh
agajowi’	ag ajowi ’
wadiya’dade’	wadi ya’d ade ’
aganöge’	a ga nöge ’
yöde’gwas	yö de’gwas
wa’ën	wa’ ë n
ëjadak	ë j adak
da’ogwenyöh	da’ ogwe nyö h
tganödayë’gwah	t ga nödayë’ gwah
deyöknyawënyeh	de yökny awënye h
yenönyöh	ye nönyö h
agiwaögëh	ag iwa ög ëh
ëhsesnye’t	ë hs esnye’ t
wa’öjä’dak	wa’ ö jä’dak
wa’esagë’	wa’ esa gë ’
agaje’s	ag aje’ s
hwaëne:’	h w aën e :’
agashä:’s	ag ashä:’s
shehniya’dagehas	shehni ya’d a geh as
höwöwih	höwö wi h
aknigo’	a kni go’
nöwögajeö’	n öwö gajeö’
dwa’höta’	dwa ’hö ta’
ëtgënöhdö’	ë t g ënöhdö ’
hae’sek	h a e’s ek
o’jagwadë’	o’ j agw adë ’
de’tonöhdö’	de’ to nöhdö ’
agatahgwëh	ag atahgwë h
gawajiyäde’	ga wajiyä de’
so’ah	so’ah
oshaisda’shö’öh	o shaisda’ shö’öh
wa’agwënö’geät	wa’ agw ënö’geä t
gëö’	g ëö ’
wa’akidë:’	wa’ ak idë :’
swegëonö’	swegë onö’
gaëwë:’	ga ëwë :’
dawënödawënye:’	da wënö da wënye :’
ëyakniyeä’dak	ë yakni yeä’dak
wënishäde’	w ëni shä de ’
hënödawëh	hënö dawë h
saöhdagöh	sa öhd a göh
swayë’he’s	swa yë’ he’ s
deonödögodöje’	de onö dögo dö je’
dënötak	d ën ötak
wa’o’dëöje’	wa’ o ’dëö je’
o’gyagë’t	o’ g yagë ’t
ëhsesënösho’	ë hs esënösho’
hënögwe’da’shö’	hënö gwe ’da’ shö’
dëinöönyö:’	dë i nöö nyö :’
gaswëhta’	ga swëh ta’
waöwö’geosäh	waöwö ’geosäh
ayonöja’dageh	a yonö ja’d a geh
daedwawënye:’	d ae dw awënye :’
ayötšonyanö:’	a yö tšony anö :’
dayöwënye:’	d a yö wënye :’
ëdwënöet	ë dw ënöe t
tadiyëdih	t adi yëdi h
wa’ögyö’s	wa ’ ög yö ’s
yeadö’s	ye adö ’s
ikne:’	i kn e :’
ëyögwa’nigöiyok	ë yögwa ’nigö iyo k
ëyaknyajeä’t	ë yakny aje ä’ t
o’gyatganye:’	o’ gy at ganye :’
nëöganya’k	n ëö ganya’ k
ayeshe:’	a ye she :’
ëgadeköni’	ë g ade köni ’
ha’dewënishägeh	ha’ de w ëni shä geh
sagat	sa ga t
o’sheshe:’	o’ she she :’
nöwödiye:’	n öwödi ye :’
o’kyadönyö:’	o’ k yadö nyö :’
ëjiswahdëdi’	ë ji sw ahdëdi’
jo’äga’	j o’äg a’
aesnyadaöhdiyos	ae sny ada öhd iyo s
wa’höta’	w a’hö ta’
hehša’dagehëh	he hš a’d a geh ëh
ëyödöishë:’	ë yö döi shë :’
ögwe’öweshö’öh	ö gwe ’öwe shö’öh
todiyö’dahgöh	t odi yö’d ahgöh
hëyenegeä’	h ë ye neg e ä’
wadiatödat	w adi atöda t
hesakdönö’	he s akdö nö’
agajëgwah	ag ajëgwa h
nö’deswa’nëyanode’	nö’ de swa ’nëyanod e’?
wa’ödënyet	wa’ ö dënye t
shedwanöe’öh	shedwa nöe’ öh
eogadoishë:’	eog ad oi shë :’
tedë’	tedë’
ögwatödaje’	ögw atöda je’
dö’ögwayëda’k	dö’ ögwa yë da’ k
aögeowi’	a öge owi ’
edwë’	e dw ë’
ganëhdëta’	ga nëhdë ta’
ga’hahda’	ga ’hahd a’
jih	jih
niayehak	ni a ye hak
ayësegë:’	a yëse gë :’
tšaksa’ah	tš a ksa’ ah
tadinögenyö’	t adi nöge nyö ’
dayeya’dowet	da ye ya’d owe t
gahogaëndo’	ga hogaën do’
hojöh	hojöh
dëyagodawënyeak	d ë yago da wënye ak
onökda’	o nökd a’
o’dwawënye:’	o’d wa wënye :’
dwë’jö’	dw ë’jö ’
sgya’dagehëh	s g ya’d a geh ëh
gya’dä:’s	g ya’d ä:’ s
ëshehnigë’	ë shehni gë ’
niganyo’da’s’ah	ni ganyo’ da’s’ ah
niwagyahdowe’shäyë’	ni wag yahdowe’shä yë’
o’sadeyës	o’ s adeyës
goja’dagehëh	go ja’d a geh ëh
wa’öta’dö:’	wa’ ö ta’dö :’
ësayë’gwahsöwi’	ë sa yë’gwa hsöwi’?
wënödöh	w ënödö h
haša’däje’	h a ša’d äje’
o’sadiatödat	o’ s adiatöda t
ganö’dzayë’	ga nö’dzayë’
akniowi’	a kni owi ’
nyögwa’	nyögwa’
swajöh	sw ajö h
oiwawehda’shö’	o iwa wehda’ shö’
wagegë’	w age gë ’
o’shegë’	o’ she gë ’
o’shaknishe:’	o’ shakni she :’
ëyajëno’kdë’	ë y ajëno’k dë’
o’sego’	o’ se go’
shonödaje’	s honö daje’
niga’sehdase’	ni ga’sehd a se’?
jödöh	jödöh
wajeä’ta’	w ajeä’ ta’
ayeögo’	a ye ö go’
ahtšo’gwëh	ahtšo’gwëh?
eshedwagë’	e shedwa gë’
dëhnideni’	d ë hni deni’
deodiya’dowedöje’	de odi ya’d owe dö je’
haöhdagöh	ha öhd a göh
shagojowehgowah	shago joweh gowah
o’sheswaowi’	o’ sheswa owi ’
o’gwësa’	o’ gw ësa’
niodi’seo’dëh	n iodi ’se o’dë h
weso’	w eso ’
o’gaiwayeih	o’ ga iwa yei h
dëgëh	d ë gë h
aoya’dageha’	a o ya’d a geh a’
hodi’nosha’s	hodi’nosha’s
akisot	aki sot
ëse’sek	ë s e’s ek
shakninöe’s	shakni nöe’ s
eshehniowi’	e shehni owi ’
honötgwëönyö’	honö t gwëö nyö ’
niyögwawis	ni yö gwawis
ësa’nigöëyëda’t	ë sa ’nigöë yë da’ t
ëkni’	ë kn i ’
ëdwadiatödat	ë dw adiatöda t
wa’aknyahdëdi’	wa’ akny ahdëdi’
thëne’s	t hën e’s
ënödaödö:’	ënö da ödö :’
ahsades’a:’	a hs ades’a :’
ëgajo:’data’	ë g ajo:’d a ta’
gogwenye’s	go gwenye’s
sa’niënöhö’s’ah	sa’ ni ënö hö’ s’ah
toë’sgëöh	t o ë’sg ëöh
aesatödeh	ae s atöde h
aesnyade’go’	ae sny ade’go’
esnië’	e sni ë ’
agwa’sehdayanowe’	agwa’ sehd a yanowe’
aënöjënöni’	a ënö jënöni ’
ëgöhek	ë g öhe k
dësek	d ë se k
hösaënötšisdöni’	h ösa ënö tšisd öni ’
de’o’dënö’	de ’o’dë nö’
ögwaowih	ögwa owi h
ëhsënö’geät	ë hs ënö’geä t
awadiyë’he’t	a wadi yë’ he’ t
heyo’dëh	he y o’dë h
wadö:’	w adö :’
awëdetgädek	awëdetgäde k
waösanöe’t	wa ösa nöe’ t
yödekwahgwa’	yö dekwahgwa’
kyadenyöh	k yade nyö h
ho’gëhödaje’	ho’ g ëhöd a je’
wadikwiyoh	wadi kw iyo h
gadö’s	g adö ’s
hëkea’	h ë ke a’
o’tgyahsëto’	o’t gy ahsë to’
wadiwahdëdi’	wad iwa hdëdi’
ige’s	i g e’s
döges	döges
o’gaköni’	o’ ga köni ’
heyakne:’	he yakn e :’
ahsënö’geät	a hs ënö’geä t
awe’öjeh	awe’öjeh
eshehnidë:’	e shehn idë :’
gohdahgwayë’	go hdahgwa yë’
deswa’nya:’	de swa ’nya :’
ase:’	a s e :’
yötgëös	yö t gëö s
honënöhdönyöh	hon ënöhdö nyö h
gayëtwëh	ga yë twëh
ho’wëöto’	ho’ w ëöto’
aye:’	aye:’
heša’dagweniyos	he ša’d a gwen iyo s
wadëninöhšowanëh	w adëninöhšo wanë h
wadiyëönö’	w adi yëönö’
ha’deyagwaya’dih	ha’ de yagw aya’di h
hënöhsaha’	hënö hsa ha’
ëyötga’	ë yö tga’
ëyeä’dak	ë ye ä’dak
hadijinöshö’	hadi jinö shö’
ëdwades’a:’	ë dw ades’a :’
o’wajä’dak	o’ w ajä’da k
ayonötgato’	a yonö t ga to’
ayaknyadënodë’	a yakny ad ëno dë’
dödasahget	döda sa hget
gwawae’	gwa wae’
jadak	j ada k
saënötgato’	sa ënö t ga to’
sawadëhgodë’	sa w adëhgodë’
gaiwa’	ga iwa ’
dadeni’	d adeni ’
waonöe’t	wa o nöe’ t
asek	a se k
o’oänöhö’	o’oänöhö’
ëyenegeä’	ë ye neg e ä’
nëgayeit	n ë ga yeit
ëskanö’gëök	ë ska nö’gëö k
honödiwade’	honö d iwa de’
gadöshä’	ga döshä’
dawadëdi’	d aw adëdi’
waögeshe:’	wa öge she :’
adeshä’shö’öh	adeshä’ shö’öh
o'watšonyanö:’	o' w atšony anö :’
shawënöyë:’	s ha wën ö yë :’
hënödöh	hënö dö h
ëödiatödat	ë öd iatöda t
osdë’sä’	osdë’sä’
gatgënis’a’has	g at gënis’a’ha s
dödaya’gwe:’	dö d a ya’gwe:’
dëjagwadëdi’	dë j agw adëdi’
o’wahdzadë’	o’ w ahdzadë’
gahsa’ö:’	ga hsa’ö :’
waoiwanägo’	wa o iwan ägo ’
dawatgë’ö:’	da wa tgë’ö :’
ëgani’	ë gani ’
agejiyäetgë’	age jiy äetgë
ëwöetgë’t	ë wöetgë’ t
oyëhsä:’	o yëhsä:’
aögyanotgëni’	a ög yanotgëni ’
aga’hön	aga ’hön
agahgaië’öh	aga hgai ë’ öh
ageshani’öh	age shani’ öh
agwe’s	agw e’s
agwagwegöh	agwa gwegö h
dedzaöh	de dza ö h
dejohatenöh	de jo hatenö h
de’oha’danö’	de’ o ha’danö ’
de’ogayës	de’ o gayë s
dodiwagehëh	d odi wagehë h
dëtodiyöje’	dët odi yö je’
dëödiwašnye:’	dë öd iwa šnye :’
dödayagwayö’	döda yagwa yö ’
ga’sgwihsa’	ga ’sgwihsa ’
gejio’gwa’geh	ge jio’gwa’ geh
gonyane’	go nyan e’
godawëh	go dawë h
godä’nëdakdöh	go dä’nëdakdö h
gëöje’	gë öje ’
hiya’dih	hi ya’ di h
hishönegwah	hi shöne gwah
hadënöh	ha dënö h
ha’dösawagya’dis	ha’ dösa wag ya’di s
hehsö’neh	he hsö’ neh
hejojö’döh	he jojö’dö h
hëhdzö’	hëh dzö ’
hëne’s	hën e’s
hëöyö’	hë ö yö ’
nëyodo’kda’k	në yo do’k da’k
nö’gë:’	nö’ gë :’
oda’geo’kdaje’	o da’geo’kd aje’
okasha’	o ka sha ’
ojinöya’da’	o jinöya’d a’
onödöišöhgöh	onö döišöhg öh
onökda’geh	onö kda’ geh
osae’dajisgwa’	o sae’da jisgw a’
oya’shö’öh	o ya’ shö’öh
o’yagaën	o’yagaë n
o’gade’nyöh	o’ ga de’nyö h
o’shagaödö:’	o’ shag aödö :’
shagoiödas’öh	shago iödas’ öh
taëne’sek	ta ëne’s ek
tohah	to hah
tsa’gadaödö:’	tsa’ ga daödö :’
wa’agonö’kwëh	wa’ ago nö’kwë h
wa’ödaödö:’	wa’ ö daödö :’
wa’ögaödönyö:’	wa’ ö gaödönyö :’
yödeës	yö de ës
ësaswe’nönök	ë saswe’nönök
ësgwanö’kwa’seak	ë sgwa nö’kwa’se ak
